#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:30.46 aq:25.19 tex:407789 mv:128104 misc:219 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:31.93 aq:26.74 tex:74456 mv:17393 misc:2687 imb:184 pmb:2485 smb:931 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:31.93 aq:31.07 tex:3525 mv:7817 misc:2666 imb:7 pmb:771 smb:2822 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:31.93 aq:33.47 tex:789 mv:3918 misc:1797 imb:3 pmb:404 smb:3193 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:31.93 aq:31.14 tex:789 mv:3962 misc:1929 imb:6 pmb:426 smb:3168 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:32.03 aq:26.96 tex:88204 mv:23231 misc:1701 imb:279 pmb:2951 smb:370 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:31.98 aq:30.49 tex:4408 mv:9563 misc:2957 imb:11 pmb:905 smb:2684 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:31.96 aq:32.49 tex:760 mv:4692 misc:2084 imb:5 pmb:475 smb:3120 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:32.01 aq:31.75 tex:743 mv:4927 misc:2122 imb:1 pmb:491 smb:3108 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:32.12 aq:27.46 tex:113416 mv:25787 misc:853 imb:372 pmb:3119 smb:109 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:32.08 aq:29.79 tex:7188 mv:11141 misc:3279 imb:19 pmb:1097 smb:2484 d:- ref:0 ;
